Patient_Name,Age,Gender,Phone_Number,Diagnosis,Blood_Group,Aadhar_ID,Cholesterol,Max_Heart_Rate
Aarti Reddy,36,Female,7941469902,Anemia,O-,4634-7113-3389,208,177
Vijay Joshi,39,Male,8753326051,Migraine,AB+,7997-7278-8915,351,145
Anil Gupta,24,Male,9973990525,Thyroid Disorder,O+,1822-9337-2370,184,101
Deepa Iyer,68,Female,9031366471,Migraine,A+,1867-5031-9507,209,111
Anjali Reddy,27,Female,8847171141,Type 2 Diabetes,O-,7321-9489-3712,327,180
Ritu Malhotra,37,Female,9779483085,Heart Disease,O-,8636-1125-2591,177,118
Neha Malhotra,39,Female,8534759816,Type 2 Diabetes,A+,4506-4716-5913,153,134
Vijay Patel,73,Male,7168208048,Hypertension,AB+,6126-4951-8673,264,168
Priya Khan,22,Female,7246935314,Anemia,A+,2108-8309-1918,341,164
Ritu Gupta,49,Female,7844037317,Hypertension,B+,6188-5905-6888,325,139
Ritu Patel,55,Female,8605660119,Heart Disease,A+,3720-5116-3790,333,181
Suresh Deshmukh,34,Male,7989485284,Thyroid Disorder,O+,3801-3472-5989,310,193
Sunil Gupta,35,Male,7991041703,Anemia,B-,1414-5817-8793,321,165
Rajesh Malhotra,74,Male,8976394756,Migraine,AB+,7045-5476-9060,308,114
Meera Iyer,30,Female,7101902862,Anemia,B-,3718-2484-1693,176,149
Vijay Khan,57,Male,8492388219,Anemia,AB-,9330-8636-2470,301,170
Neha Deshmukh,27,Female,7133750436,Heart Disease,AB+,9652-7804-6361,273,134
Deepa Khan,60,Female,9429802251,Migraine,A+,7893-6335-5161,360,186
Neha Nair,63,Female,9031973127,Hypertension,O-,9222-9402-7919,355,199
Sanjay Iyer,47,Male,8971639151,Type 2 Diabetes,AB+,7361-6594-6953,329,130
Aarti Gupta,32,Female,7546141999,Migraine,A-,8095-1675-5077,360,111
Rajesh Nair,63,Male,7870478708,Asthma,B-,9611-6795-6367,348,116
Priya Reddy,63,Female,8102455274,Anemia,O-,4593-4276-5253,268,184
Priya Joshi,21,Female,7564134746,Thyroid Disorder,B-,7442-4466-8832,273,171
Neha Iyer,56,Female,9125560127,Bronchitis,O-,7560-7444-9638,244,185
Vijay Joshi,59,Male,9995894289,Hypertension,B+,3634-7597-9960,244,177
Meera Khan,63,Female,9402330014,Asthma,AB-,8975-9115-1724,378,114
Deepa Khan,56,Female,9684641717,Anemia,AB-,2327-6092-3326,292,179
Neha Sharma,61,Female,7254316789,Migraine,B+,5567-4464-2421,315,112
Anil Patel,21,Male,7691664797,Heart Disease,O-,9360-9841-7779,159,129
Anjali Nair,34,Female,9597719300,Thyroid Disorder,A-,8939-5460-3900,323,169
Rajesh Iyer,72,Male,9742055497,Anemia,AB-,8821-4192-1553,222,109
Karan Gupta,25,Male,9091272320,Bronchitis,O-,7657-9568-7117,373,111
Sanjay Deshmukh,26,Male,7806598247,Type 2 Diabetes,O-,7186-3704-3986,382,129
Vijay Deshmukh,51,Male,9929024482,Bronchitis,AB-,2769-9265-6251,330,128
Vijay Reddy,41,Male,9444295261,Hypertension,A-,5867-9661-4766,240,177
Priya Nair,32,Female,9549874867,Migraine,AB+,8756-2470-3774,313,181
Kavita Gupta,23,Female,8386916696,Migraine,AB-,8586-3956-4316,266,144
Meera Reddy,18,Female,7004588468,Hypertension,A+,8394-6292-7343,377,130
Vijay Gupta,37,Male,9894478665,Asthma,O-,2713-3559-1291,371,155
